PicHandlingTime	PicGrabTime	Rearrangement-Calc-Time	Movement-Calc-Time	Finishing-Calc-Time	ResetPositionTime	StreamTime	TriggerTime
1.3521e-05	0.000104259	2.1032e-05	7.1208e-05	0.00207346	4.7472e-05	0.0161315	3.4552e-05
1.4722e-05	6.8504e-05	1.5023e-05	0.00023015	0.00172012	2.7943e-05	0.0152272	3.0947e-05
3.0346e-05	0.000107263	3.7257e-05	0.000303762	0.00193254	2.8844e-05	0.0153299	4.3266e-05
1.4722e-05	8.8635e-05	2.8544e-05	0.000363553	0.00158161	3.966e-05	0.0150616	4.0562e-05
1.5323e-05	5.6787e-05	2.8844e-05	0.000124389	0.00156178	4.0862e-05	0.0155934	4.2966e-05
1.4421e-05	4.6872e-05	2.584e-05	0.000372867	0.00120033	3.0346e-05	0.0147443	2.9445e-05
1.6525e-05	4.627e-05	2.3436e-05	0.000222038	0.00283451	3.9359e-05	0.0169317	3.906e-05
1.4422e-05	4.5069e-05	1.5323e-05	0.000296552	0.00181837	4.2965e-05	0.0162622	4.597e-05
1.5323e-05	4.8975e-05	2.0431e-05	0.000318785	0.00213174	3.0646e-05	0.0164873	5.228e-05
1.4722e-05	0.000106062	3.1248e-05	0.00017787	0.00148756	5.0477e-05	0.0165483	5.5584e-05
3.245e-05	0.000134304	3.2149e-05	0.000198902	0.00254938	3.0346e-05	0.0157485	3.936e-05
2.644e-05	5.4383e-05	1.8328e-05	0.000277322	0.00201517	3.6956e-05	0.0151469	5.258e-05
2.8844e-05	7.1208e-05	2.614e-05	0.000471117	0.00211852	3.305e-05	0.0150421	3.0647e-05
2.7342e-05	9.1639e-05	1.6525e-05	0.000458197	0.00206715	3.0947e-05	0.0149697	5.1679e-05
1.4422e-05	4.3566e-05	2.8543e-05	0.000131901	0.00154555	2.9745e-05	0.0166276	4.5069e-05
3.0346e-05	9.7348e-05	3.275e-05	0.00017727	0.00145481	6.6701e-05	0.0159876	8.3828e-05
2.1633e-05	0.000103357	2.9144e-05	0.000776382	0.00309201	3.3951e-05	0.0159041	3.3351e-05
1.8628e-05	0.000115075	0.00131029	1.803e-06	0.00291263	2.8844e-05	0.0158777	2.9445e-05
4.3866e-05	6.6402e-05	2.9746e-05	0.000273416	0.00126523	3.0046e-05	0.0153434	4.4768e-05
1.5023e-05	5.4983e-05	1.7727e-05	0.000219033	0.00231743	4.5068e-05	0.0156727	5.1078e-05
3.3651e-05	0.000107263	1.6526e-05	0.000311273	0.00141576	4.1463e-05	0.0151121	4.8674e-05
1.5624e-05	6.5199e-05	2.8844e-05	0.000202207	0.00222579	5.7989e-05	0.015594	3.996e-05
1.5023e-05	4.4467e-05	2.6741e-05	0.000231352	0.00195538	4.5369e-05	0.0157295	3.906e-05
2.7341e-05	6.9406e-05	1.7126e-05	0.000240066	0.00135536	3.7257e-05	0.0147582	4.4167e-05
6.0392e-05	6.1293e-05	3.0647e-05	0.000574174	0.00192593	2.4337e-05	0.0147687	2.4637e-05
1.983e-05	5.4083e-05	3.0346e-05	0.000367159	0.00211732	5.859e-05	0.0152668	3.4252e-05
1.9529e-05	6.6401e-05	3.2149e-05	0.000296552	0.00174325	3.2749e-05	0.0157464	5.2581e-05
2.1934e-05	6.7002e-05	3.0947e-05	0.000380679	0.00206865	3.966e-05	0.015503	4.0862e-05
1.4723e-05	5.8889e-05	2.9445e-05	0.000121384	0.00158341	4.0862e-05	0.0147413	3.0346e-05
1.4722e-05	0.000100052	1.8629e-05	0.000209118	0.00186554	4.4468e-05	0.0184907	6.3697e-05
1.292e-05	5.6786e-05	2.1933e-05	0.000171862	0.00176248	4.1463e-05	0.0174463	4.0562e-05
1.5924e-05	6.5801e-05	2.1032e-05	0.000200705	0.00200856	5.3782e-05	0.0169239	7.1809e-05
4.0561e-05	0.000124089	4.1463e-05	0.00143949	0.00392007	3.0346e-05	0.0155252	3.5153e-05
4.1463e-05	9.3442e-05	2.9445e-05	0.000355741	0.0027588	0.000103357	0.0150577	5.4082e-05
1.4121e-05	6.1594e-05	1.923e-05	0.000170058	0.00130489	3.1248e-05	0.0175671	3.4252e-05
1.6225e-05	4.7172e-05	0.00104379	9.01e-07	0.00150679	4.2064e-05	0.0159726	3.966e-05
1.6826e-05	6.0992e-05	1.7427e-05	0.00034222	0.00196709	3.2149e-05	0.0155066	4.8674e-05
1.8028e-05	0.000104859	2.4938e-05	0.0001316	0.00346487	3.0947e-05	0.01695	3.0947e-05
2.8844e-05	8.8935e-05	1.4121e-05	0.000167956	0.00155066	3.8759e-05	0.0149342	4.2665e-05
3.4253e-05	0.000110267	1.9229e-05	0.000694957	0.00210831	2.9445e-05	0.0149508	3.305e-05
3.3351e-05	0.000138811	2.7942e-05	0.000261698	0.00149718	2.9144e-05	0.0151788	3.245e-05
1.3821e-05	5.8289e-05	1.8929e-05	0.000174265	0.00227326	4.0862e-05	0.0162517	8.2326e-05
1.4722e-05	4.3567e-05	3.0947e-05	0.000232854	0.00148216	3.0346e-05	0.0152734	3.3051e-05
